date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_elo,away_elo
1979-08-15,Colombia,Chile,1.0,0.0,Copa América,Bogotá,Colombia,False,1496.9110030571546,1531.6242826160772
1979-08-15,Norway,Sweden,2.0,0.0,Nordic Championship,Oslo,Norway,False,1368.3219330642094,1627.6577481837417
1979-08-16,Brazil,Bolivia,2.0,0.0,Copa América,São Paulo,Brazil,False,2018.0454400603605,1527.928707287599
1979-08-19,Guinea,DR Congo,3.0,1.0,African Cup of Nations qualification,Conakry,Guinea,False,1613.4364300216557,1661.2443238804594
1979-08-19,Poland,Libya,5.0,0.0,Friendly,Słupsk,Poland,False,1857.3705169416014,1534.1300377143882
1979-08-22,Colombia,Venezuela,4.0,0.0,Copa América,Bogotá,Colombia,False,1515.457947163553,1260.1816481573949
1979-08-23,Argentina,Brazil,2.0,2.0,Copa América,Buenos Aires,Argentina,False,1925.9057332918428,2020.471674714331
1979-08-23,North Korea,Japan,0.0,0.0,Friendly,Pyongyang,North Korea,False,1770.0764509934431,1587.9581727671232
1979-08-25,Lesotho,Malawi,0.0,3.0,Friendly,Maseru,Lesotho,False,1357.394398407636,1526.6056450775498
1979-08-26,Réunion,Seychelles,3.0,0.0,Indian Ocean Island Games,Réunion,Réunion,False,1359.5136889512353,1406.1066551128388
1979-08-26,Mauritius,Comoros,3.0,0.0,Indian Ocean Island Games,Réunion,Réunion,True,1410.4382642599262,1500.0
1979-08-26,Zambia,Tanzania,1.0,1.0,African Cup of Nations qualification,Ndola,Zambia,False,1716.7290503464562,1483.5245943527123
1979-08-27,Seychelles,Maldives,9.0,0.0,Indian Ocean Island Games,Réunion,Réunion,True,1375.34087600778,1500.0
1979-08-28,Tunisia,Malta,4.0,0.0,Friendly,Tunis,Tunisia,False,1754.6665708643027,1277.1568080436184
1979-08-28,Réunion,Maldives,9.0,0.0,Indian Ocean Island Games,Réunion,Réunion,False,1390.279468056294,1424.7273387534026
1979-08-28,Comoros,Mauritius,1.0,3.0,Indian Ocean Island Games,Réunion,Réunion,True,1459.929044558814,1450.5092197011122
1979-08-29,Solomon Islands,Wallis Islands and Futuna,6.0,0.0,South Pacific Games,Suva,Fiji,True,1349.9283292637165,1407.2627645261734
1979-08-29,Fiji,Papua New Guinea,0.0,0.0,South Pacific Games,Suva,Fiji,False,1392.7832938851213,1424.72304759568
1979-08-29,Tahiti,Tonga,8.0,0.0,South Pacific Games,Suva,Fiji,True,1679.1330667550385,1500.0
1979-08-29,Poland,Romania,3.0,0.0,Friendly,Warsaw,Poland,False,1861.338644573055,1703.8430365953554
1979-08-29,Comoros,Maldives,2.0,1.0,Indian Ocean Island Games,Réunion,Réunion,True,1429.115870738348,1372.838445934732
1979-08-29,Finland,Denmark,0.0,0.0,Nordic Championship,Mikkeli,Finland,False,1402.2675382340879,1554.5002573479983
1979-08-29,Ecuador,Paraguay,1.0,2.0,Copa América,Quito,Ecuador,False,1382.877022469062,1630.6605238039406
1979-08-29,Chile,Venezuela,7.0,0.0,Copa América,Santiago,Chile,False,1513.0773385096788,1250.0980613322529
1979-08-29,Austria,Norway,4.0,0.0,UEFA Euro qualification,Vienna,Austria,False,1801.7988620991048,1413.864834111783
1979-08-29,Guam,Vanuatu,0.0,4.0,South Pacific Games,Suva,Fiji,True,1350.1910273512904,1412.9859773569547
1979-08-30,Tahiti,Tuvalu,18.0,0.0,South Pacific Games,Suva,Fiji,True,1706.4701730362628,1500.0
1979-08-30,Peru,Uruguay,2.0,0.0,Friendly,Lima,Peru,False,1700.4283945604009,1580.580999139799
1979-08-30,Fiji,Kiribati,24.0,0.0,South Pacific Games,Nausori,Fiji,False,1391.1715191722951,1500.0
1979-08-30,Guam,New Caledonia,1.0,10.0,South Pacific Games,Suva,Fiji,True,1320.627674429435,1653.5520849790537
1979-08-31,Kiribati,Papua New Guinea,0.0,13.0,South Pacific Games,Suva,Fiji,True,1367.8038906363074,1426.3348223085063
1979-08-31,Solomon Islands,Samoa,12.0,0.0,South Pacific Games,Suva,Fiji,True,1401.124086687671,1500.0
1979-08-31,New Caledonia,Vanuatu,3.0,0.0,South Pacific Games,Suva,Fiji,True,1667.916764169108,1442.54933027881
1979-08-31,Seychelles,Mauritius,1.0,1.0,Indian Ocean Island Games,Réunion,Réunion,True,1450.6135372543774,1481.3223935215783
1979-08-31,Réunion,Comoros,6.0,1.0,Indian Ocean Island Games,Réunion,Réunion,False,1442.1683608749647,1445.9043202617743
1979-09-01,Tonga,Tuvalu,3.0,5.0,South Pacific Games,Nausori,Fiji,True,1472.6628937187756,1457.0322204624513
1979-09-01,Wallis Islands and Futuna,Samoa,3.0,1.0,South Pacific Games,Nausori,Fiji,True,1356.067007102219,1413.1540846949335
1979-09-01,Réunion,Seychelles,2.0,1.0,Indian Ocean Island Games,Réunion,Réunion,False,1475.7467611103407,1452.3766920813987
1979-09-03,Tahiti,Vanuatu,1.0,0.0,South Pacific Games,Suva,Fiji,True,1749.4379525738116,1428.8138722858914
1979-09-03,Papua New Guinea,Solomon Islands,2.0,3.0,South Pacific Games,Nausori,Fiji,True,1486.318761764297,1487.9700019927375
1979-09-03,Fiji,Wallis Islands and Futuna,5.0,0.0,South Pacific Games,Nausori,Fiji,False,1523.3676285359877,1390.952415592463
1979-09-03,Libya,Palestine,0.0,0.0,Friendly,Tripoli,Libya,False,1530.1619100829346,1427.3546534317268
1979-09-03,New Caledonia,Tuvalu,11.0,0.0,South Pacific Games,Suva,Fiji,True,1681.6522221620266,1488.3809714569531
1979-09-04,New Caledonia,Tahiti,2.0,3.0,South Pacific Games,Suva,Fiji,True,1713.3186753991383,1754.8932806299663
1979-09-04,Fiji,Solomon Islands,2.0,0.0,South Pacific Games,Suva,Fiji,False,1543.232653070071,1507.8749496800333
1979-09-05,Sweden,France,1.0,3.0,UEFA Euro qualification,Solna,Sweden,False,1582.114847136168,1775.1065734079818
1979-09-05,Vanuatu,Papua New Guinea,2.0,0.0,South Pacific Games,Nausori,Fiji,True,1423.3585442297367,1466.4138140770012
1979-09-05,Tonga,Wallis Islands and Futuna,1.0,0.0,South Pacific Games,Nausori,Fiji,True,1441.3141427242738,1371.0873910583798
1979-09-05,Russia,German DR,1.0,0.0,Friendly,Moscow,Soviet Union,False,1805.2026226906175,1794.4743977318615
1979-09-05,Kiribati,Tuvalu,3.0,3.0,South Pacific Games,Nausori,Fiji,True,1307.819951180517,1456.7145182198415
1979-09-05,Iceland,Netherlands,0.0,4.0,UEFA Euro qualification,Reykjavík,Iceland,False,1310.0109069740415,1923.4176230073065
1979-09-05,Guam,Samoa,4.0,2.0,South Pacific Games,Nausori,Fiji,True,1306.2629952393806,1378.2686762046894
1979-09-05,Ecuador,Uruguay,2.0,1.0,Copa América,Quito,Ecuador,False,1372.744112956661,1572.7191747383213
1979-09-05,Chile,Colombia,2.0,0.0,Copa América,Santiago,Chile,False,1526.0175823190268,1525.541533988695
1979-09-06,Guam,Tuvalu,7.0,2.0,South Pacific Games,Nausori,Fiji,True,1342.3929508848776,1448.6322915844291
1979-09-06,Vanuatu,Tonga,7.0,1.0,South Pacific Games,Nausori,Fiji,True,1457.0573204973114,1457.325735444076
1979-09-07,New Caledonia,Solomon Islands,1.0,3.0,South Pacific Games,Suva,Fiji,True,1695.7005443636988,1485.9080915585707
1979-09-07,Fiji,Tahiti,0.0,3.0,South Pacific Games,Suva,Fiji,False,1565.1995111915335,1772.5114116654058
1979-09-08,South Korea,Sudan,8.0,0.0,Korea Cup,Seoul,South Korea,False,1940.2736757111752,1601.67328574634
